image_path,timepoint,group,subject_id,slice_idx,has_label,mask_path,mask_valid
1 Week/Combined/Combined 7/Slice 19.png,1 Week,Combined,Combined 7,19,False,,False
1 Week/Combined/Combined 7/Slice 20.png,1 Week,Combined,Combined 7,20,False,,False
1 Week/Combined/Combined 7/Slice 21.png,1 Week,Combined,Combined 7,21,False,,False
1 Week/Combined/Combined 8/Slice  22.png,1 Week,Combined,Combined 8,22,False,,False
1 Week/Combined/Combined 8/Slice 17.png,1 Week,Combined,Combined 8,17,False,,False
1 Week/Combined/Combined 8/Slice 18.png,1 Week,Combined,Combined 8,18,False,,False
1 Week/Combined/Combined 8/Slice 19.png,1 Week,Combined,Combined 8,19,False,,False
1 Week/Combined/Combined 8/Slice 20.png,1 Week,Combined,Combined 8,20,False,,False
1 Week/Combined/Combined 8/Slice 21.png,1 Week,Combined,Combined 8,21,False,,False
1 Week/Control/Control 2/Slice 18.png,1 Week,Control,Control 2,18,False,,False
1 Week/Control/Control 2/Slice 19.png,1 Week,Control,Control 2,19,False,,False
1 Week/Control/Control 2/Slice 20.png,1 Week,Control,Control 2,20,False,,False
1 Week/Control/Control 2/Slice 21.png,1 Week,Control,Control 2,21,False,,False
1 Week/Control/Control 2/Slice 22.png,1 Week,Control,Control 2,22,False,,False
1 Week/Control/Control 3/Slice 16.png,1 Week,Control,Control 3,16,False,,False
1 Week/Control/Control 3/Slice 17.png,1 Week,Control,Control 3,17,False,,False
1 Week/Control/Control 3/Slice 18.png,1 Week,Control,Control 3,18,False,,False
1 Week/Control/Control 3/Slice 19.png,1 Week,Control,Control 3,19,False,,False
1 Week/Control/Control 3/Slice 20.png,1 Week,Control,Control 3,20,False,,False
1 Week/Control/Control 3/Slice 21.png,1 Week,Control,Control 3,21,False,,False
1 Week/Control/Control 3/Slice 22.png,1 Week,Control,Control 3,22,False,,False
1 Week/Control/Control 4/Slice 16.png,1 Week,Control,Control 4,16,False,,False
1 Week/Control/Control 4/Slice 17.png,1 Week,Control,Control 4,17,False,,False
1 Week/Control/Control 4/Slice 18.png,1 Week,Control,Control 4,18,False,,False
1 Week/Control/Control 4/Slice 19.png,1 Week,Control,Control 4,19,False,,False
1 Week/Control/Control 4/Slice 20.png,1 Week,Control,Control 4,20,False,,False
1 Week/Control/Control 4/Slice 21.png,1 Week,Control,Control 4,21,False,,False
1 Week/Control/Control 4/Slice 22.png,1 Week,Control,Control 4,22,False,,False
1 Week/Control/Control 5/Slice 14.png,1 Week,Control,Control 5,14,False,,False
1 Week/Control/Control 5/Slice 15.png,1 Week,Control,Control 5,15,False,,False
1 Week/Control/Control 5/Slice 16.png,1 Week,Control,Control 5,16,False,,False
1 Week/Control/Control 5/Slice 17.png,1 Week,Control,Control 5,17,False,,False
1 Week/Control/Control 5/Slice 18.png,1 Week,Control,Control 5,18,False,,False
1 Week/Control/Control 5/Slice 19.png,1 Week,Control,Control 5,19,False,,False
1 Week/Control/Control 5/Slice 20.png,1 Week,Control,Control 5,20,False,,False
1 Week/Control/Control 6/Slice 16.png,1 Week,Control,Control 6,16,False,,False
1 Week/Control/Control 6/Slice 17.png,1 Week,Control,Control 6,17,False,,False
1 Week/Control/Control 6/Slice 18.png,1 Week,Control,Control 6,18,False,,False
1 Week/Control/Control 6/Slice 19.png,1 Week,Control,Control 6,19,False,,False
1 Week/Control/Control 6/Slice 20.png,1 Week,Control,Control 6,20,False,,False
1 Week/Control/Control 6/Slice 21.png,1 Week,Control,Control 6,21,False,,False
1 Week/Control/Control 6/Slice 22.png,1 Week,Control,Control 6,22,False,,False
1 Week/Control/Control 7/Slice 17.png,1 Week,Control,Control 7,17,False,,False
1 Week/Control/Control 7/Slice 18.png,1 Week,Control,Control 7,18,False,,False
1 Week/Control/Control 7/Slice 19.png,1 Week,Control,Control 7,19,False,,False
1 Week/Control/Control 7/Slice 20.png,1 Week,Control,Control 7,20,False,,False
1 Week/Control/Control 7/Slice 21.png,1 Week,Control,Control 7,21,False,,False
1 Week/Control/Control 7/Slice 22.png,1 Week,Control,Control 7,22,False,,False
1 Week/Control/Control 7/Slice 23.png,1 Week,Control,Control 7,23,False,,False
1 Week/Control/Control 7/Slice 24.png,1 Week,Control,Control 7,24,False,,False
1 Week/Control/Control 8/Slice 16.png,1 Week,Control,Control 8,16,False,,False
1 Week/Control/Control 8/Slice 17.png,1 Week,Control,Control 8,17,False,,False
1 Week/Control/Control 8/Slice 18.png,1 Week,Control,Control 8,18,False,,False
1 Week/Control/Control 8/Slice 19.png,1 Week,Control,Control 8,19,False,,False
1 Week/Control/Control 8/Slice 20.png,1 Week,Control,Control 8,20,False,,False
1 Week/Control/Control 8/Slice 21.png,1 Week,Control,Control 8,21,False,,False
1 Week/Control/Control 8/Slice 22.png,1 Week,Control,Control 8,22,False,,False
1 Week/Control/Control 9/Slice 19.png,1 Week,Control,Control 9,19,False,,False
1 Week/Control/Control 9/Slice 20.png,1 Week,Control,Control 9,20,False,,False
1 Week/Control/Control 9/Slice 21.png,1 Week,Control,Control 9,21,False,,False
1 Week/Control/Control 9/Slice 22.png,1 Week,Control,Control 9,22,False,,False
1 Week/Control/Control 9/Slice 23.png,1 Week,Control,Control 9,23,False,,False
1 Week/GOT/GOT 10/Slice 15.png,1 Week,GOT,GOT 10,15,False,,False
1 Week/GOT/GOT 10/Slice 16.png,1 Week,GOT,GOT 10,16,False,,False
1 Week/GOT/GOT 10/Slice 17.png,1 Week,GOT,GOT 10,17,False,,False
1 Week/GOT/GOT 10/Slice 18.png,1 Week,GOT,GOT 10,18,False,,False
1 Week/GOT/GOT 10/Slice 19.png,1 Week,GOT,GOT 10,19,False,,False
1 Week/GOT/GOT 10/Slice 20.png,1 Week,GOT,GOT 10,20,False,,False
1 Week/GOT/GOT 10/Slice 21.png,1 Week,GOT,GOT 10,21,False,,False
1 Week/GOT/GOT 10/Slice 22.png,1 Week,GOT,GOT 10,22,False,,False
1 Week/GOT/GOT 11/Slice 18.png,1 Week,GOT,GOT 11,18,False,,False
1 Week/GOT/GOT 11/Slice 19.png,1 Week,GOT,GOT 11,19,False,,False
1 Week/GOT/GOT 11/Slice 20.png,1 Week,GOT,GOT 11,20,False,,False
1 Week/GOT/GOT 11/Slice 21.png,1 Week,GOT,GOT 11,21,False,,False
1 Week/GOT/GOT 11/Slice 22.png,1 Week,GOT,GOT 11,22,False,,False
1 Week/GOT/GOT 11/Slice 23.png,1 Week,GOT,GOT 11,23,False,,False
1 Week/GOT/GOT 11/Slice 24.png,1 Week,GOT,GOT 11,24,False,,False
1 Week/GOT/GOT 12/Slice 14.png,1 Week,GOT,GOT 12,14,False,,False
1 Week/GOT/GOT 12/Slice 15.png,1 Week,GOT,GOT 12,15,False,,False
1 Week/GOT/GOT 12/Slice 16.png,1 Week,GOT,GOT 12,16,False,,False
1 Week/GOT/GOT 12/Slice 17.png,1 Week,GOT,GOT 12,17,False,,False
1 Week/GOT/GOT 12/Slice 18.png,1 Week,GOT,GOT 12,18,False,,False
1 Week/GOT/GOT 12/Slice 19.png,1 Week,GOT,GOT 12,19,False,,False
1 Week/GOT/GOT 12/Slice 20.png,1 Week,GOT,GOT 12,20,False,,False
1 Week/GOT/GOT 3/Slice 14.png,1 Week,GOT,GOT 3,14,False,,False
1 Week/GOT/GOT 3/Slice 15.png,1 Week,GOT,GOT 3,15,False,,False
1 Week/GOT/GOT 3/Slice 16.png,1 Week,GOT,GOT 3,16,False,,False
1 Week/GOT/GOT 3/Slice 17.png,1 Week,GOT,GOT 3,17,False,,False
1 Week/GOT/GOT 3/Slice 18.png,1 Week,GOT,GOT 3,18,False,,False
1 Week/GOT/GOT 3/Slice 19.png,1 Week,GOT,GOT 3,19,False,,False
1 Week/GOT/GOT 3/Slice 20.png,1 Week,GOT,GOT 3,20,False,,False
1 Week/GOT/GOT 4/Slice 15.png,1 Week,GOT,GOT 4,15,False,,False
1 Week/GOT/GOT 4/Slice 16.png,1 Week,GOT,GOT 4,16,False,,False
1 Week/GOT/GOT 4/Slice 17.png,1 Week,GOT,GOT 4,17,False,,False
1 Week/GOT/GOT 4/Slice 18.png,1 Week,GOT,GOT 4,18,False,,False
1 Week/GOT/GOT 4/Slice 19.png,1 Week,GOT,GOT 4,19,False,,False
1 Week/GOT/GOT 4/Slice 20.png,1 Week,GOT,GOT 4,20,False,,False
1 Week/GOT/GOT 4/Slice 21.png,1 Week,GOT,GOT 4,21,False,,False
1 Week/GOT/GOT 4/Slice 22.png,1 Week,GOT,GOT 4,22,False,,False
1 Week/GOT/GOT 7/Slice 17.png,1 Week,GOT,GOT 7,17,False,,False
1 Week/GOT/GOT 7/Slice 18.png,1 Week,GOT,GOT 7,18,False,,False
1 Week/GOT/GOT 7/Slice 19.png,1 Week,GOT,GOT 7,19,False,,False
1 Week/GOT/GOT 7/Slice 20.png,1 Week,GOT,GOT 7,20,False,,False
1 Week/GOT/GOT 7/Slice 21.png,1 Week,GOT,GOT 7,21,False,,False
1 Week/GOT/GOT 7/Slice 22.png,1 Week,GOT,GOT 7,22,False,,False
1 Week/GOT/GOT 7/Slice 23.png,1 Week,GOT,GOT 7,23,False,,False
1 Week/GOT/GOT 7/Slice 24.png,1 Week,GOT,GOT 7,24,False,,False
1 Week/GOT/GOT 8/Slice 15.png,1 Week,GOT,GOT 8,15,False,,False
1 Week/GOT/GOT 8/Slice 16.png,1 Week,GOT,GOT 8,16,False,,False
1 Week/GOT/GOT 8/Slice 17.png,1 Week,GOT,GOT 8,17,False,,False
1 Week/GOT/GOT 8/Slice 18.png,1 Week,GOT,GOT 8,18,False,,False
1 Week/GOT/GOT 8/Slice 19.png,1 Week,GOT,GOT 8,19,False,,False
1 Week/GOT/GOT 8/Slice 20.png,1 Week,GOT,GOT 8,20,False,,False
1 Week/GOT/GOT 8/Slice 21.png,1 Week,GOT,GOT 8,21,False,,False
1 Week/GOT/GOT 8/Slice 22.png,1 Week,GOT,GOT 8,22,False,,False
1 Week/GOT/GOT 9/Slice 16.png,1 Week,GOT,GOT 9,16,False,,False
1 Week/GOT/GOT 9/Slice 17.png,1 Week,GOT,GOT 9,17,False,,False
1 Week/GOT/GOT 9/Slice 18.png,1 Week,GOT,GOT 9,18,False,,False
1 Week/GOT/GOT 9/Slice 19.png,1 Week,GOT,GOT 9,19,False,,False
1 Week/GOT/GOT 9/Slice 20.png,1 Week,GOT,GOT 9,20,False,,False
1 Week/GOT/GOT 9/Slice 21.png,1 Week,GOT,GOT 9,21,False,,False
1 Week/GOT/GOT 9/Slice 22.png,1 Week,GOT,GOT 9,22,False,,False
1 Week/GPT/GPT 1/Slice 17.png,1 Week,GPT,GPT 1,17,False,,False
1 Week/GPT/GPT 1/Slice 18.png,1 Week,GPT,GPT 1,18,False,,False
1 Week/GPT/GPT 1/Slice 19.png,1 Week,GPT,GPT 1,19,False,,False
1 Week/GPT/GPT 1/Slice 20.png,1 Week,GPT,GPT 1,20,False,,False
1 Week/GPT/GPT 1/Slice 21.png,1 Week,GPT,GPT 1,21,False,,False
1 Week/GPT/GPT 1/Slice 22.png,1 Week,GPT,GPT 1,22,False,,False
1 Week/GPT/GPT 1/Slice 23.png,1 Week,GPT,GPT 1,23,False,,False
1 Week/GPT/GPT 13/Slice 19.png,1 Week,GPT,GPT 13,19,False,,False
1 Week/GPT/GPT 13/Slice 20.png,1 Week,GPT,GPT 13,20,False,,False
1 Week/GPT/GPT 13/Slice 21.png,1 Week,GPT,GPT 13,21,False,,False
1 Week/GPT/GPT 13/Slice 22.png,1 Week,GPT,GPT 13,22,False,,False
1 Week/GPT/GPT 13/Slice 23.png,1 Week,GPT,GPT 13,23,False,,False
1 Week/GPT/GPT 14/Slice 17.png,1 Week,GPT,GPT 14,17,False,,False
1 Week/GPT/GPT 14/Slice 18.png,1 Week,GPT,GPT 14,18,False,,False
1 Week/GPT/GPT 14/Slice 19.png,1 Week,GPT,GPT 14,19,False,,False
1 Week/GPT/GPT 14/Slice 20.png,1 Week,GPT,GPT 14,20,False,,False
1 Week/GPT/GPT 14/Slice 21.png,1 Week,GPT,GPT 14,21,False,,False
1 Week/GPT/GPT 14/Slice 22.png,1 Week,GPT,GPT 14,22,False,,False
1 Week/GPT/GPT 15/Slice 17.png,1 Week,GPT,GPT 15,17,False,,False
1 Week/GPT/GPT 15/Slice 18.png,1 Week,GPT,GPT 15,18,False,,False
1 Week/GPT/GPT 15/Slice 19.png,1 Week,GPT,GPT 15,19,False,,False
1 Week/GPT/GPT 15/Slice 20.png,1 Week,GPT,GPT 15,20,False,,False
1 Week/GPT/GPT 15/Slice 21.png,1 Week,GPT,GPT 15,21,False,,False
1 Week/GPT/GPT 15/Slice 22.png,1 Week,GPT,GPT 15,22,False,,False
1 Week/GPT/GPT 15/Slice 23.png,1 Week,GPT,GPT 15,23,False,,False
1 Week/GPT/GPT 16/Slice 19.png,1 Week,GPT,GPT 16,19,False,,False
1 Week/GPT/GPT 16/Slice 20.png,1 Week,GPT,GPT 16,20,False,,False
1 Week/GPT/GPT 16/Slice 21.png,1 Week,GPT,GPT 16,21,False,,False
1 Week/GPT/GPT 16/Slice 22.png,1 Week,GPT,GPT 16,22,False,,False
1 Week/GPT/GPT 16/Slice 23.png,1 Week,GPT,GPT 16,23,False,,False
1 Week/GPT/GPT 2/Slice 14.png,1 Week,GPT,GPT 2,14,False,,False
1 Week/GPT/GPT 2/Slice 15.png,1 Week,GPT,GPT 2,15,False,,False
1 Week/GPT/GPT 2/Slice 16.png,1 Week,GPT,GPT 2,16,False,,False
1 Week/GPT/GPT 2/Slice 17.png,1 Week,GPT,GPT 2,17,False,,False
1 Week/GPT/GPT 2/Slice 18.png,1 Week,GPT,GPT 2,18,False,,False
1 Week/GPT/GPT 2/Slice 19.png,1 Week,GPT,GPT 2,19,False,,False
1 Week/GPT/GPT 2/Slice 20.png,1 Week,GPT,GPT 2,20,False,,False
1 Week/GPT/GPT 2/Slice 21.png,1 Week,GPT,GPT 2,21,False,,False
1 Week/GPT/GPT 2/Slice 22.png,1 Week,GPT,GPT 2,22,False,,False
1 Week/GPT/GPT 5/Slice 15.png,1 Week,GPT,GPT 5,15,False,,False
1 Week/GPT/GPT 5/Slice 16.png,1 Week,GPT,GPT 5,16,False,,False
1 Week/GPT/GPT 5/Slice 17.png,1 Week,GPT,GPT 5,17,False,,False
1 Week/GPT/GPT 5/Slice 18.png,1 Week,GPT,GPT 5,18,False,,False
1 Week/GPT/GPT 5/Slice 19.png,1 Week,GPT,GPT 5,19,False,,False
1 Week/GPT/GPT 5/Slice 20.png,1 Week,GPT,GPT 5,20,False,,False
1 Week/GPT/GPT 5/Slice 21.png,1 Week,GPT,GPT 5,21,False,,False
1 Week/GPT/GPT 6/Slice 18.png,1 Week,GPT,GPT 6,18,False,,False
1 Week/GPT/GPT 6/Slice 19.png,1 Week,GPT,GPT 6,19,False,,False
1 Week/GPT/GPT 6/Slice 20.png,1 Week,GPT,GPT 6,20,False,,False
1 Week/GPT/GPT 6/Slice 21.png,1 Week,GPT,GPT 6,21,False,,False
1 Week/GPT/GPT 6/Slice 22.png,1 Week,GPT,GPT 6,22,False,,False
1 Week/GPT/GPT 6/Slice 23.png,1 Week,GPT,GPT 6,23,False,,False
1 Week/GPT/GPT 6/Slice 24.png,1 Week,GPT,GPT 6,24,False,,False
24 Hours/Combined/Combined 1/Slice 17.png,24 Hours,Combined,Combined 1,17,False,,False
24 Hours/Combined/Combined 1/Slice 18.png,24 Hours,Combined,Combined 1,18,False,,False
24 Hours/Combined/Combined 1/Slice 19.png,24 Hours,Combined,Combined 1,19,False,,False
24 Hours/Combined/Combined 1/Slice 20.png,24 Hours,Combined,Combined 1,20,False,,False
24 Hours/Combined/Combined 1/Slice 21.png,24 Hours,Combined,Combined 1,21,False,,False
24 Hours/Combined/Combined 1/Slice 22.png,24 Hours,Combined,Combined 1,22,False,,False
24 Hours/Combined/Combined 2/Slice 18.png,24 Hours,Combined,Combined 2,18,False,,False
24 Hours/Combined/Combined 2/Slice 19.png,24 Hours,Combined,Combined 2,19,False,,False
24 Hours/Combined/Combined 2/Slice 20.png,24 Hours,Combined,Combined 2,20,False,,False
24 Hours/Combined/Combined 2/Slice 21.png,24 Hours,Combined,Combined 2,21,False,,False
24 Hours/Combined/Combined 2/Slice 22.png,24 Hours,Combined,Combined 2,22,False,,False
24 Hours/Combined/Combined 2/Slice 23.png,24 Hours,Combined,Combined 2,23,False,,False
24 Hours/Combined/Combined 2/Slice 24.png,24 Hours,Combined,Combined 2,24,False,,False
24 Hours/Combined/Combined 3/Slice 18.png,24 Hours,Combined,Combined 3,18,False,,False
24 Hours/Combined/Combined 3/Slice 19.png,24 Hours,Combined,Combined 3,19,False,,False
24 Hours/Combined/Combined 3/Slice 20.png,24 Hours,Combined,Combined 3,20,False,,False
24 Hours/Combined/Combined 3/Slice 21.png,24 Hours,Combined,Combined 3,21,False,,False
24 Hours/Combined/Combined 3/Slice 22.png,24 Hours,Combined,Combined 3,22,False,,False
24 Hours/Combined/Combined 3/Slice 23.png,24 Hours,Combined,Combined 3,23,False,,False
24 Hours/Combined/Combined 3/Slice 24.png,24 Hours,Combined,Combined 3,24,False,,False
24 Hours/Combined/Combined 3/Slice 25.png,24 Hours,Combined,Combined 3,25,False,,False
24 Hours/Combined/Combined 4/Slice  18.png,24 Hours,Combined,Combined 4,18,False,,False
24 Hours/Combined/Combined 4/Slice 17.png,24 Hours,Combined,Combined 4,17,False,,False
24 Hours/Combined/Combined 4/Slice 19.png,24 Hours,Combined,Combined 4,19,False,,False
24 Hours/Combined/Combined 4/Slice 20.png,24 Hours,Combined,Combined 4,20,False,,False
24 Hours/Combined/Combined 4/Slice 21.png,24 Hours,Combined,Combined 4,21,False,,False
24 Hours/Combined/Combined 4/Slice 22.png,24 Hours,Combined,Combined 4,22,False,,False
24 Hours/Combined/Combined 4/Slice 23.png,24 Hours,Combined,Combined 4,23,False,,False
24 Hours/Combined/Combined 5/Slice 17.png,24 Hours,Combined,Combined 5,17,False,,False
24 Hours/Combined/Combined 5/Slice 18.png,24 Hours,Combined,Combined 5,18,False,,False
24 Hours/Combined/Combined 5/Slice 19.png,24 Hours,Combined,Combined 5,19,False,,False
24 Hours/Combined/Combined 5/Slice 20.png,24 Hours,Combined,Combined 5,20,False,,False
24 Hours/Combined/Combined 5/Slice 21.png,24 Hours,Combined,Combined 5,21,False,,False
24 Hours/Combined/Combined 5/Slice 22.png,24 Hours,Combined,Combined 5,22,False,,False
24 Hours/Combined/Combined 5/Slice 23.png,24 Hours,Combined,Combined 5,23,False,,False
24 Hours/Combined/Combined 6/Slice 17.png,24 Hours,Combined,Combined 6,17,False,,False
24 Hours/Combined/Combined 6/Slice 18.png,24 Hours,Combined,Combined 6,18,False,,False
24 Hours/Combined/Combined 6/Slice 19.png,24 Hours,Combined,Combined 6,19,False,,False
24 Hours/Combined/Combined 6/Slice 20.png,24 Hours,Combined,Combined 6,20,False,,False
24 Hours/Combined/Combined 6/Slice 21.png,24 Hours,Combined,Combined 6,21,False,,False
24 Hours/Combined/Combined 6/Slice 22.png,24 Hours,Combined,Combined 6,22,False,,False
24 Hours/Combined/Combined 6/Slice 23.png,24 Hours,Combined,Combined 6,23,False,,False
24 Hours/Combined/Combined 7/Slice 18.png,24 Hours,Combined,Combined 7,18,False,,False
24 Hours/Combined/Combined 7/Slice 19.png,24 Hours,Combined,Combined 7,19,False,,False
24 Hours/Combined/Combined 7/Slice 20.png,24 Hours,Combined,Combined 7,20,False,,False
24 Hours/Combined/Combined 7/Slice 21.png,24 Hours,Combined,Combined 7,21,False,,False
24 Hours/Combined/Combined 7/Slice 22.png,24 Hours,Combined,Combined 7,22,False,,False
24 Hours/Combined/Combined 7/Slice 23.png,24 Hours,Combined,Combined 7,23,False,,False
24 Hours/Combined/Combined 7/Slice 24.png,24 Hours,Combined,Combined 7,24,False,,False
24 Hours/Combined/Combined 8/Slice 17.png,24 Hours,Combined,Combined 8,17,False,,False
24 Hours/Combined/Combined 8/Slice 18.png,24 Hours,Combined,Combined 8,18,False,,False
24 Hours/Combined/Combined 8/Slice 19.png,24 Hours,Combined,Combined 8,19,False,,False
24 Hours/Combined/Combined 8/Slice 20.png,24 Hours,Combined,Combined 8,20,False,,False
24 Hours/Combined/Combined 8/Slice 21.png,24 Hours,Combined,Combined 8,21,False,,False
24 Hours/Combined/Combined 8/Slice 22.png,24 Hours,Combined,Combined 8,22,False,,False
24 Hours/Control/Control 1/Slice 18.png,24 Hours,Control,Control 1,18,False,,False
24 Hours/Control/Control 1/Slice 19.png,24 Hours,Control,Control 1,19,False,,False
24 Hours/Control/Control 1/Slice 20.png,24 Hours,Control,Control 1,20,False,,False
24 Hours/Control/Control 1/Slice 21.png,24 Hours,Control,Control 1,21,False,,False
24 Hours/Control/Control 1/Slice 22.png,24 Hours,Control,Control 1,22,False,,False
24 Hours/Control/Control 1/Slice 23.png,24 Hours,Control,Control 1,23,False,,False
24 Hours/Control/Control 1/Slice 24.png,24 Hours,Control,Control 1,24,False,,False
24 Hours/Control/Control 1/Slice 25.png,24 Hours,Control,Control 1,25,False,,False
24 Hours/Control/Control 2/Slice 18.png,24 Hours,Control,Control 2,18,False,,False
24 Hours/Control/Control 2/Slice 20.png,24 Hours,Control,Control 2,20,False,,False
24 Hours/Control/Control 2/Slice 21.png,24 Hours,Control,Control 2,21,False,,False
24 Hours/Control/Control 2/Slice 22.png,24 Hours,Control,Control 2,22,False,,False
24 Hours/Control/Control 2/Slice 23.png,24 Hours,Control,Control 2,23,False,,False
24 Hours/Control/Control 2/Slice 24.png,24 Hours,Control,Control 2,24,False,,False
24 Hours/Control/Control 2/Slice19.png,24 Hours,Control,Control 2,19,False,,False
24 Hours/Control/Control 3/Slice 17.png,24 Hours,Control,Control 3,17,False,,False
24 Hours/Control/Control 3/Slice 18.png,24 Hours,Control,Control 3,18,False,,False
24 Hours/Control/Control 3/Slice 19.png,24 Hours,Control,Control 3,19,False,,False
24 Hours/Control/Control 3/Slice 20.png,24 Hours,Control,Control 3,20,False,,False
24 Hours/Control/Control 3/Slice 21.png,24 Hours,Control,Control 3,21,False,,False
24 Hours/Control/Control 3/Slice 22.png,24 Hours,Control,Control 3,22,False,,False
24 Hours/Control/Control 3/Slice 23.png,24 Hours,Control,Control 3,23,False,,False
24 Hours/Control/Control 3/Slice 24.png,24 Hours,Control,Control 3,24,False,,False
24 Hours/Control/Control 4/Slice 15.png,24 Hours,Control,Control 4,15,False,,False
24 Hours/Control/Control 4/Slice 16.png,24 Hours,Control,Control 4,16,False,,False
24 Hours/Control/Control 4/Slice 17.png,24 Hours,Control,Control 4,17,False,,False
24 Hours/Control/Control 4/Slice 18.png,24 Hours,Control,Control 4,18,False,,False
24 Hours/Control/Control 4/Slice 19.png,24 Hours,Control,Control 4,19,False,,False
24 Hours/Control/Control 4/Slice 20.png,24 Hours,Control,Control 4,20,False,,False
24 Hours/Control/Control 4/Slice 21.png,24 Hours,Control,Control 4,21,False,,False
24 Hours/Control/Control 4/Slice 22.png,24 Hours,Control,Control 4,22,False,,False
24 Hours/Control/Control 5/Slice 15.png,24 Hours,Control,Control 5,15,False,,False
24 Hours/Control/Control 5/Slice 16.png,24 Hours,Control,Control 5,16,False,,False
24 Hours/Control/Control 5/Slice 17.png,24 Hours,Control,Control 5,17,False,,False
24 Hours/Control/Control 5/Slice 18 .png,24 Hours,Control,Control 5,18,False,,False
24 Hours/Control/Control 5/Slice 19.png,24 Hours,Control,Control 5,19,False,,False
24 Hours/Control/Control 5/Slide 20.png,24 Hours,Control,Control 5,20,False,,False
24 Hours/Control/Control 5/Slide 21.png,24 Hours,Control,Control 5,21,False,,False
24 Hours/Control/Control 6/Slice 13.png,24 Hours,Control,Control 6,13,False,,False
24 Hours/Control/Control 6/Slice 15.png,24 Hours,Control,Control 6,15,False,,False
24 Hours/Control/Control 6/Slice 16.png,24 Hours,Control,Control 6,16,False,,False
24 Hours/Control/Control 6/Slice 17.png,24 Hours,Control,Control 6,17,False,,False
24 Hours/Control/Control 6/Slice 18.png,24 Hours,Control,Control 6,18,False,,False
24 Hours/Control/Control 6/Slice 19.png,24 Hours,Control,Control 6,19,False,,False
24 Hours/Control/Control 6/Slice 20.png,24 Hours,Control,Control 6,20,False,,False
24 Hours/Control/Control 6/Slide 14.png,24 Hours,Control,Control 6,14,False,,False
24 Hours/Control/Control 7/Slice 18.png,24 Hours,Control,Control 7,18,False,,False
24 Hours/Control/Control 7/Slice 19.png,24 Hours,Control,Control 7,19,False,,False
